,particle_id,distance,w,par_N,par_delta1,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
604,22606,791.0170471602185,0.001194853473769795,3.0049233107627185,0.16812316104917713,10.287201232392071,-6.697042416969682,-4.076494396331304,0.08230836709209785,0.9692158101925672,791.0170471602185
605,22607,843.398118135275,0.0003670400321529141,5.124262843099574,0.2679439063522493,4.351204979839167,-8.094431697953233,-6.118297182808811,0.24248837975588305,0.9837838185679189,843.398118135275
606,22608,773.4833877258717,0.0004498417295567422,3.541465213681284,0.4553023390079984,4.281650162801666,-6.147854036741736,-6.671766274807436,0.3118025698825373,0.9801971886016997,773.4833877258717
607,22609,769.4865615274236,0.0007413147930807735,5.805722405387973,0.260244142495293,3.053766736738914,-7.299120482090161,-7.625081072981895,0.09729015505414089,0.9889507683631432,769.4865615274236
608,22610,864.2560672681052,0.0009089374210084632,3.806444684767228,0.24743536887268333,7.037359857422402,-6.038983001384671,-6.712996260051329,0.2712862722579743,0.9565096325654717,864.2560672681052
609,22611,762.8028546325825,0.0005806332951257165,3.1186724866147633,0.4148528289091914,4.871338856384437,-5.017586379554403,-7.008823431039403,0.2894102444712192,0.9865856639661832,762.8028546325825
610,22612,854.2522750168298,0.00042302361206165377,4.471330952532403,0.12224084385885393,5.139619193457353,-6.445238050194633,-7.233642123284473,0.2784105109529701,0.9717158955042535,854.2522750168298
611,22613,833.4990509158872,0.002127915137471881,7.089352931265962,0.31346570875369884,4.705049386697162,-7.425205446556625,-8.021543686180914,0.06051111890425611,0.9881361359082959,833.4990509158872
612,22614,737.1216431645056,0.0005715789727899294,3.6715444753478272,0.4633587005566132,6.130160198480385,-7.185327206346393,-5.372676597860393,0.31139168371325343,0.9753608402390325,737.1216431645056
613,22615,864.803870912167,0.00029308965910786796,3.8148799193744285,0.07624917746711844,8.756218375843257,-5.877124610895098,-6.372928302745928,0.18979105407103827,0.9619639999702847,864.803870912167
614,22616,723.5550195170778,0.0005407430659668487,3.7768925302415495,0.3690513106979755,6.311610488439397,-7.466606384213782,-4.859572317818829,0.20619890285131642,0.9793269813459197,723.5550195170778
615,22617,850.9829508857712,0.0008425620976191185,3.2199285404650944,0.022353356616747262,7.150871611064134,-6.675787119326131,-5.329436204297929,0.37612156723797535,0.9720115942970695,850.9829508857712
616,22618,837.032540237918,0.0007823094087345004,3.201376197416552,0.07486321081817313,4.695547499558521,-6.080182813019184,-6.568158051368799,0.46225452208853685,0.9843601322709442,837.032540237918
617,22619,628.7957203009851,0.0009695358473228066,4.849122822003646,0.46335373525811246,2.6901717013291635,-7.76065255482367,-6.9094171122811225,0.34892923936664466,0.9872502178614926,628.7957203009851
618,22620,822.1229668686226,0.0003094551899758116,3.9590703170764656,0.07033054287038346,5.3003795222181385,-5.50894762431963,-7.443427013750923,0.27817966888554174,0.9817795716654802,822.1229668686226
619,22621,795.2833272844034,0.0008197182097907227,4.6100448073436775,0.05687078390112408,3.31795522636018,-6.5211163812883814,-7.84579191205172,0.258721385400814,0.9775729957868908,795.2833272844034
620,22622,784.2153546254962,0.0005619158671177038,3.067257692302732,0.3456854404947577,6.634615733029127,-5.872750527275841,-5.8086288308948,0.220053129909751,0.9751904142460907,784.2153546254962
621,22623,676.1971975038974,0.0004107810442301261,3.2324832612573426,0.3299359522674188,7.434443970480013,-5.563049240614911,-6.014365203014863,0.09966044614337226,0.9651093792809221,676.1971975038974
622,22624,856.4396880810658,0.000507417181107832,3.2265981480063197,0.38227944812771963,3.5886928466111274,-5.622374298498013,-7.097522186430317,0.3222797284298035,0.9846554283474757,856.4396880810658
623,22625,835.778898878614,0.0006790922925937898,5.52271136943388,0.0003075763177680241,4.833911689085976,-8.308043085891589,-6.391615888589956,0.32807746797016807,0.9791749297806739,835.778898878614
624,22626,862.5509107692035,0.0008646013968584452,4.637644341791166,0.1464486986957134,5.556164746365484,-5.288673280832626,-8.587772508955709,0.37254764041237703,0.9754923306297837,862.5509107692035
